TRIP_ID,TRAVEL_TIME
T155,705.8138761494249
T156,649.1606893396668
T157,679.8462830266129
T158,937.3728799053722
T159,931.8420151583209
T160,922.5224149953431
T161,867.5556005069666
T162,801.6154215023032
T163,881.0147748078987
T164,914.8575862600143
T166,756.3431202731877
T167,917.3634350214832
T168,911.9621821132465
T169,869.3542970466034
T170,867.547666413832
T171,677.4883721842355
T172,913.0971932591563
T173,687.7877027975683
T174,925.0811749035813
T175,887.7390737505405
T176,982.5076687462547
T177,1031.5083871388324
T178,866.9975107017362
T179,868.8665193354693
T180,843.2658964261874
T181,796.9010079421294
T182,867.8542770936923
T183,988.6846244970366
T184,929.806433552336
T185,859.7848192509188
T186,896.1216515364067
T187,849.6332684363595
T188,945.5507458801502
T189,797.6477354341843
T190,911.4556741833007
T191,908.3029432936316
T192,750.5526761971239
T193,1052.683418313205
T194,913.124161724853
T195,788.3736169261388
T196,954.1224312802999
T197,948.1342144311132
T198,945.2248190701373
T199,708.6365650186796
T200,984.3067496751742
T201,909.3496797642154
T202,965.8055258650306
T203,850.2918755347721
T204,940.5203323570464
T205,721.2579982517923
T206,880.2759884406961
T207,841.0507268879614
T208,859.3418323265603
T209,1152.4702261469756
T210,767.5941183347684
T211,888.923570393537
T212,950.6481578742522
T213,725.614575989321
T214,883.0500337437641
T215,870.7276288999827
T216,877.0543889410427
T217,954.6391063172548
T218,808.9658352361471
T219,866.796722489581
T220,957.947764133793
T221,718.1656103702632
T222,916.6673171280179
T223,932.2363260804575
T224,913.3584256311331
T225,748.8718438842686
T226,754.9216477467304
T227,910.350537270981
T228,986.2516359967674
T229,974.4558291359726
T230,968.0150643420164
T231,893.7970632730094
T232,829.4812256701019
T233,708.4738131081311
T234,1054.4847718230055
T235,847.064566594406
T236,602.7587830526066
T237,716.4916104249883
T238,599.1049983903929
T239,732.4085132209211
T240,726.923423307718
T241,713.5381185692194
T242,727.227596877057
T243,624.0923329853571
T244,733.2255792276345
T245,729.3647354178421
T246,691.8097034739733
T247,588.0227259889356
T248,652.5154570907304
T249,698.9788385497193
T250,525.4767228585915
T251,709.848740688507
T252,655.8778827414316
T253,769.1964164805602
T254,623.0025920197614
T255,680.0008506907807
T256,794.7866483766478
T257,641.9463297107958
T258,610.3882606420208
T259,737.5953577504106
T260,721.4936813260492
T261,741.4296023580899
T262,587.277906090005
T263,846.4346215094205
T264,736.9311530081329
T265,680.8342082030551
T266,728.5449664739353
T267,725.4764480285214
T268,650.694245358798
T269,780.9194368285577
T270,672.9589931028622
T271,736.4077813248316
T272,653.7928934215914
T273,588.3262383717721
T274,686.3282458615689
T275,733.4362171869989
T276,656.8330729495619
T277,807.8788129858741
T278,749.4424959824566
T279,717.4899667118617
T280,687.6326718596819
T281,476.5400897912548
T282,776.6933619127462
T283,597.4915513271555
T284,589.1881662611428
T285,749.1180461062698
T286,671.9729293016776
T287,706.7079228887338
T288,650.4965346665831
T289,596.9621834158916
T290,619.8842202773349
T291,580.4845933009918
T292,668.3624315501775
T293,643.7665273100527
T294,632.980144837703
T295,754.462179716856
T296,711.5029624861286
T297,635.3254523961352
T298,546.8868408021995
T299,750.7370100561968
T300,776.0965238592279
T301,803.3765864475575
T302,699.9425741931972
T303,617.3796305946008
T304,739.6820184521256
T305,631.4464886687873
T306,680.7306158950755
T307,758.4952656141327
T308,729.4890220689316
T309,689.124704675369
T310,759.5734668653706
T311,747.2313927377744
T312,673.3365592160357
T313,737.8514482377425
T314,781.906788332495
T315,750.3698766712237
T316,858.20843407616
T317,854.6342403688113
T318,762.8121947725978
T319,737.0284874577843
T320,712.3583386372711
T321,790.6238217351297
T322,761.0569604515354
T323,697.6993035292157
T324,632.8216847374318
T325,786.7923878077445
T326,700.4088060998663
T327,708.7565170832277
